CNTSCHID,CNT,STRATUM,SCHSIZE,CLSIZE,STRATIO,SCHLTYPE,REGION,OECD,AGE,ST004D01T,Gender,ISCEDL,ISCEDD,ISCEDO,TEACHSUP,PARED,HEDRES,MISCED,FISCED,HISCED,WEALTH,ESCS,INTBRSCI,INSTSCIE,SCIEEFF,SCIEACT,JOYSCIE,ICTRES,HOMEPOS,HEDRES.1,CULTPOSS,PV1MATH,PV1READ,PV1SCIE,PV1SCEP,PV1SCED,PV1SCID,PV1SKCO,PV1SKPE,PV1SSPH,PV1SSLI,PV1SSES,AREA
70400062,VNM,VNM0101,1482,43.0,18.0732,3.0,NORTH,0,15.58,2,Boys,3,1,1,0.4326,17.0,-0.7218,6.0,4.0,6.0,-1.1026,0.7615,,1.1325,-0.4045,,0.5094,-1.3205,-0.8575,-0.7218,-0.1892,820.142,717.701,768.083,,,,,,,,,URBAN
70400161,VNM,VNM0207,1197,33.0,13.1538,3.0,CENTRAL,0,16.0,2,Boys,3,1,1,0.0322,17.0,1.1563,6.0,6.0,6.0,-0.2273,1.0382,,0.3708,2.341,,2.1635,0.4091,-0.1045,1.1563,0.2162,818.472,744.15,807.332,,,,,,,,,RURAL
70400161,VNM,VNM0207,1197,33.0,13.1538,3.0,CENTRAL,0,16.08,2,Boys,3,1,1,-0.1133,12.0,1.1563,3.0,3.0,3.0,-2.2839,-0.83,,-0.2552,0.3337,,1.6903,-1.3492,-1.5616,1.1563,-0.1523,813.874,658.111,726.905,,,,,,,,,RURAL
70400178,VNM,VNM0101,720,23.0,7.6596,3.0,NORTH,0,15.67,2,Boys,3,1,1,-1.0718,17.0,-0.6303,4.0,6.0,6.0,-0.1829,1.1629,,-0.7579,1.4958,,2.1635,0.1832,0.0662,-0.6303,0.7777,794.584,690.534,764.777,,,,,,,,,URBAN
70400098,VNM,VNM0208,1130,38.0,14.8684,3.0,CENTRAL,0,16.08,2,Boys,3,1,1,0.1,12.0,-1.4299,4.0,4.0,4.0,-4.5167,-0.6878,,1.2817,-0.2325,,1.5791,-3.2718,-2.9739,-1.4299,0.2834,793.558,718.325,798.946,,,,,,,,,URBAN
70400062,VNM,VNM0101,1482,43.0,18.0732,3.0,NORTH,0,15.5,2,Boys,3,1,1,0.7131,12.0,-0.7218,4.0,2.0,4.0,-1.6086,-0.2336,,-0.2552,-0.3931,,1.3369,-1.7086,-1.2319,-0.7218,0.3744,770.499,639.61,750.016,,,,,,,,,URBAN
70400178,VNM,VNM0101,720,23.0,7.6596,3.0,NORTH,0,16.0,1,Girls,3,1,1,0.0322,12.0,1.1563,2.0,3.0,3.0,-1.4865,-0.0983,,1.3336,0.6805,,2.1635,-0.8588,-1.1448,1.1563,-0.0071,766.597,646.883,767.171,,,,,,,,,URBAN
70400161,VNM,VNM0207,1197,33.0,13.1538,3.0,CENTRAL,0,16.17,1,Girls,3,1,1,0.2407,12.0,1.1563,4.0,4.0,4.0,-0.9956,-0.4998,,0.3708,0.9851,,-1.6436,-1.1173,-0.663,1.1563,0.0058,754.702,707.974,786.238,,,,,,,,,RURAL
70400176,VNM,VNM0207,1035,33.0,12.3214,3.0,CENTRAL,0,15.5,2,Boys,3,1,1,-0.159,17.0,1.1563,6.0,6.0,6.0,0.0831,1.3765,,0.7648,-0.0527,,0.5094,-0.3461,0.4224,1.1563,0.3005,752.735,687.428,781.087,,,,,,,,,RURAL
70400161,VNM,VNM0207,1197,33.0,13.1538,3.0,CENTRAL,0,15.75,1,Girls,3,1,1,0.7896,12.0,-1.0496,1.0,4.0,4.0,-2.5434,-1.4683,,-0.3438,-0.2576,,-0.2145,-2.0883,-2.005,-1.0496,0.7777,749.043,696.67,752.32,,,,,,,,,RURAL
70400038,VNM,VNM0101,970,53.0,15.9016,3.0,NORTH,0,15.58,2,Boys,3,1,1,-1.0718,9.0,-1.8143,2.0,2.0,2.0,-1.55,-1.6848,,1.7359,-1.0524,,-0.8208,-1.8307,-1.9926,-1.8143,-1.6287,302.826,337.665,292.713,,,,,,,,,URBAN
70400076,VNM,VNM0101,151,33.0,4.3143,3.0,NORTH,0,16.0,2,Boys,3,1,1,-0.669,9.0,-1.0496,0.0,2.0,2.0,-1.8881,-2.2004,,0.0125,-1.2212,,0.5094,-0.9937,-1.8775,-1.0496,-0.7325,281.855,318.289,296.315,,,,,,,,,URBAN
70400187,VNM,VNM0105,1175,38.0,23.2673,1.0,NORTH,0,16.0,2,Boys,3,1,1,0.3034,12.0,-1.4432,4.0,4.0,4.0,-2.1895,-1.5396,,-0.3115,0.5326,,1.1074,-2.2825,-2.1992,-1.4432,-0.831,334.618,300.808,305.095,,,,,,,,,URBAN
70400171,VNM,VNM0209,408,33.0,14.5714,3.0,CENTRAL,0,15.58,1,Girls,3,1,1,-1.0718,3.0,-4.3706,0.0,0.0,0.0,-4.001,-4.4937,,-1.9301,-3.7565,,2.1635,,-5.7901,-4.3706,-1.3465,347.736,359.778,306.948,,,,,,,,,REMOTE
70400171,VNM,VNM0209,408,33.0,14.5714,3.0,CENTRAL,0,16.17,2,Boys,3,1,1,-0.2651,12.0,-1.3738,4.0,3.0,4.0,-2.5109,-1.8898,,0.8063,-0.9213,,0.5718,-2.2825,-2.1961,-1.3738,0.0768,422.059,283.485,323.165,,,,,,,,,REMOTE
70400142,VNM,VNM0101,249,53.0,10.375,3.0,NORTH,0,15.5,2,Boys,3,3,4,,17.0,,6.0,4.0,6.0,-0.5544,-0.3987,,,,,,,-1.3716,,,266.835,107.075,327.882,,,,,,,,,URBAN
70400149,VNM,VNM0208,1144,33.0,15.2533,3.0,CENTRAL,0,15.33,1,Girls,2,1,1,-0.1164,12.0,-1.6393,0.0,4.0,4.0,-5.9654,-2.1972,,-0.7778,-0.673,,0.5094,-3.2718,-3.8762,-1.6393,-1.6287,371.624,361.089,330.317,,,,,,,,,URBAN
70400150,VNM,VNM0209,246,13.0,24.6,3.0,CENTRAL,0,16.25,2,Boys,2,1,1,0.2588,12.0,-3.0588,0.0,4.0,4.0,-1.9176,-1.9513,,-0.1987,-0.5954,,-0.5074,-1.869,-2.3636,-3.0588,-0.1013,295.596,334.513,330.775,,,,,,,,,REMOTE
70400150,VNM,VNM0209,246,13.0,24.6,3.0,CENTRAL,0,15.42,2,Boys,2,1,1,0.6375,9.0,-1.4299,0.0,2.0,2.0,-1.7118,-2.2341,,1.2423,-1.0048,,1.2596,-1.9305,-1.9692,-1.4299,-1.6287,245.221,328.408,331.652,,,,,,,,,REMOTE
70400171,VNM,VNM0209,408,33.0,14.5714,3.0,CENTRAL,0,15.83,1,Girls,3,1,1,0.3252,3.0,-3.5825,0.0,0.0,0.0,-5.6356,-4.7079,,1.1151,-1.2378,,-0.9603,-3.2718,-6.3732,-3.5825,-1.2573,286.569,417.321,332.041,,,,,,,,,REMOTE
